LAYER_L;BLK_NAME;W_L;X1;Y1;X2;Y2;
0;;0;6.82089e+07;2.25959e+08;6.69589e+07;2.25959e+08;
0;;0;6.82089e+07;2.25109e+08;6.82089e+07;2.25959e+08;
0;;0;6.69589e+07;2.25109e+08;6.82089e+07;2.25109e+08;
0;;0;6.69589e+07;2.25959e+08;6.69589e+07;2.25109e+08;
0;;0;8.06839e+07;2.25534e+08;8.06611e+07;2.25795e+08;
0;;0;8.06611e+07;2.25795e+08;8.05934e+07;2.26047e+08;
0;;0;8.05934e+07;2.26047e+08;8.04829e+07;2.26284e+08;
0;;0;8.04829e+07;2.26284e+08;8.0333e+07;2.26498e+08;
0;;0;8.0333e+07;2.26498e+08;8.01481e+07;2.26683e+08;
0;;0;8.01481e+07;2.26683e+08;7.99339e+07;2.26833e+08;
0;;0;7.99339e+07;2.26833e+08;7.96969e+07;2.26944e+08;
0;;0;7.96969e+07;2.26944e+08;7.94444e+07;2.27011e+08;
0;;0;7.94444e+07;2.27011e+08;7.91839e+07;2.27034e+08;
0;;0;7.91839e+07;2.27034e+08;7.89234e+07;2.27011e+08;
0;;0;7.89234e+07;2.27011e+08;7.86709e+07;2.26944e+08;
0;;0;7.86709e+07;2.26944e+08;7.84339e+07;2.26833e+08;
0;;0;7.84339e+07;2.26833e+08;7.82197e+07;2.26683e+08;
0;;0;7.82197e+07;2.26683e+08;7.80348e+07;2.26498e+08;
0;;0;7.80348e+07;2.26498e+08;7.78849e+07;2.26284e+08;
0;;0;7.78849e+07;2.26284e+08;7.77744e+07;2.26047e+08;
0;;0;7.77744e+07;2.26047e+08;7.77067e+07;2.25795e+08;
0;;0;7.77067e+07;2.25795e+08;7.76839e+07;2.25534e+08;
0;;0;7.76839e+07;2.25534e+08;7.77067e+07;2.25274e+08;
0;;0;7.77067e+07;2.25274e+08;7.77744e+07;2.25021e+08;
0;;0;7.77744e+07;2.25021e+08;7.78849e+07;2.24784e+08;
0;;0;7.78849e+07;2.24784e+08;7.80348e+07;2.2457e+08;
0;;0;7.80348e+07;2.2457e+08;7.82197e+07;2.24385e+08;
0;;0;7.82197e+07;2.24385e+08;7.84339e+07;2.24235e+08;
0;;0;7.84339e+07;2.24235e+08;7.86709e+07;2.24125e+08;
0;;0;7.86709e+07;2.24125e+08;7.89234e+07;2.24057e+08;
0;;0;7.89234e+07;2.24057e+08;7.91839e+07;2.24034e+08;
0;;0;7.91839e+07;2.24034e+08;7.94444e+07;2.24057e+08;
0;;0;7.94444e+07;2.24057e+08;7.96969e+07;2.24125e+08;
0;;0;7.96969e+07;2.24125e+08;7.99339e+07;2.24235e+08;
0;;0;7.99339e+07;2.24235e+08;8.01481e+07;2.24385e+08;
0;;0;8.01481e+07;2.24385e+08;8.0333e+07;2.2457e+08;
0;;0;8.0333e+07;2.2457e+08;8.04829e+07;2.24784e+08;
0;;0;8.04829e+07;2.24784e+08;8.05934e+07;2.25021e+08;
0;;0;8.05934e+07;2.25021e+08;8.06611e+07;2.25274e+08;
0;;0;8.06611e+07;2.25274e+08;8.06839e+07;2.25534e+08;
0;;0;8.21839e+07;2.28784e+08;7.61839e+07;2.28784e+08;
0;;0;7.61839e+07;2.22284e+08;8.21839e+07;2.22284e+08;
0;;0;7.61839e+07;2.28784e+08;7.61839e+07;2.22284e+08;
0;;0;8.21839e+07;2.22284e+08;8.21839e+07;2.28784e+08;
0;;0;1.59184e+08;2.22899e+08;1.59184e+08;2.28169e+08;
0;;0;1.59184e+08;2.22199e+08;1.59184e+08;2.22899e+08;
0;;0;1.59184e+08;2.22199e+08;1.57184e+08;2.22199e+08;
0;;0;1.59184e+08;2.28869e+08;1.57184e+08;2.28869e+08;
0;;0;1.59184e+08;2.28169e+08;1.59184e+08;2.28869e+08;
0;;0;1.59184e+08;2.22073e+08;1.59184e+08;2.22199e+08;
0;;0;1.59184e+08;2.28869e+08;1.59184e+08;2.28996e+08;
0;;0;1.59184e+08;2.28996e+08;1.59184e+08;2.29089e+08;
0;;0;1.59184e+08;2.2198e+08;1.59184e+08;2.22073e+08;
0;;0;1.59184e+08;2.29384e+08;1.57184e+08;2.29384e+08;
0;;0;1.59184e+08;2.29089e+08;1.59184e+08;2.29384e+08;
0;;0;1.59184e+08;2.21684e+08;1.57184e+08;2.21684e+08;
0;;0;1.59184e+08;2.21684e+08;1.59184e+08;2.2198e+08;
0;;0;5.67339e+07;2.21584e+08;5.67083e+07;2.21778e+08;
0;;0;5.67083e+07;2.21778e+08;5.66334e+07;2.21959e+08;
0;;0;5.66334e+07;2.21959e+08;5.65142e+07;2.22115e+08;
0;;0;5.65142e+07;2.22115e+08;5.63589e+07;2.22234e+08;
0;;0;5.63589e+07;2.22234e+08;5.6178e+07;2.22309e+08;
0;;0;5.6178e+07;2.22309e+08;5.59839e+07;2.22334e+08;
0;;0;5.59839e+07;2.22334e+08;5.57898e+07;2.22309e+08;
0;;0;5.57898e+07;2.22309e+08;5.56089e+07;2.22234e+08;
0;;0;5.56089e+07;2.22234e+08;5.54536e+07;2.22115e+08;
0;;0;5.54536e+07;2.22115e+08;5.53344e+07;2.21959e+08;
0;;0;5.53344e+07;2.21959e+08;5.52594e+07;2.21778e+08;
0;;0;5.52594e+07;2.21778e+08;5.52339e+07;2.21584e+08;
0;;0;5.52339e+07;2.21584e+08;5.52594e+07;2.2139e+08;
0;;0;5.52594e+07;2.2139e+08;5.53344e+07;2.21209e+08;
0;;0;5.53344e+07;2.21209e+08;5.54536e+07;2.21054e+08;
0;;0;5.54536e+07;2.21054e+08;5.56089e+07;2.20935e+08;
0;;0;5.56089e+07;2.20935e+08;5.57898e+07;2.2086e+08;
0;;0;5.57898e+07;2.2086e+08;5.59839e+07;2.20834e+08;
0;;0;5.59839e+07;2.20834e+08;5.6178e+07;2.2086e+08;
0;;0;5.6178e+07;2.2086e+08;5.63589e+07;2.20935e+08;
0;;0;5.63589e+07;2.20935e+08;5.65142e+07;2.21054e+08;
0;;0;5.65142e+07;2.21054e+08;5.66334e+07;2.21209e+08;
0;;0;5.66334e+07;2.21209e+08;5.67083e+07;2.2139e+08;
0;;0;5.67083e+07;2.2139e+08;5.67339e+07;2.21584e+08;
0;;0;5.29339e+07;2.29484e+08;5.29083e+07;2.29678e+08;
0;;0;5.29083e+07;2.29678e+08;5.28334e+07;2.29859e+08;
0;;0;5.28334e+07;2.29859e+08;5.27142e+07;2.30015e+08;
0;;0;5.27142e+07;2.30015e+08;5.25589e+07;2.30134e+08;
0;;0;5.25589e+07;2.30134e+08;5.2378e+07;2.30209e+08;
0;;0;5.2378e+07;2.30209e+08;5.21839e+07;2.30234e+08;
0;;0;5.21839e+07;2.30234e+08;5.19898e+07;2.30209e+08;
0;;0;5.19898e+07;2.30209e+08;5.18089e+07;2.30134e+08;
0;;0;5.18089e+07;2.30134e+08;5.16536e+07;2.30015e+08;
0;;0;5.16536e+07;2.30015e+08;5.15344e+07;2.29859e+08;
0;;0;5.15344e+07;2.29859e+08;5.14594e+07;2.29678e+08;
0;;0;5.14594e+07;2.29678e+08;5.14339e+07;2.29484e+08;
0;;0;5.14339e+07;2.29484e+08;5.14594e+07;2.2929e+08;
0;;0;5.14594e+07;2.2929e+08;5.15344e+07;2.29109e+08;
0;;0;5.15344e+07;2.29109e+08;5.16536e+07;2.28954e+08;
0;;0;5.16536e+07;2.28954e+08;5.18089e+07;2.28835e+08;
0;;0;5.18089e+07;2.28835e+08;5.19898e+07;2.2876e+08;
0;;0;5.19898e+07;2.2876e+08;5.21839e+07;2.28734e+08;
0;;0;5.21839e+07;2.28734e+08;5.2378e+07;2.2876e+08;
0;;0;5.2378e+07;2.2876e+08;5.25589e+07;2.28835e+08;
0;;0;5.25589e+07;2.28835e+08;5.27142e+07;2.28954e+08;
0;;0;5.27142e+07;2.28954e+08;5.28334e+07;2.29109e+08;
0;;0;5.28334e+07;2.29109e+08;5.29083e+07;2.2929e+08;
0;;0;5.29083e+07;2.2929e+08;5.29339e+07;2.29484e+08;
0;;0;5.01839e+07;2.23634e+08;5.50839e+07;2.23634e+08;
0;;0;5.50839e+07;2.23634e+08;5.50839e+07;2.27434e+08;
0;;0;5.50839e+07;2.27434e+08;5.01839e+07;2.27434e+08;
0;;0;5.29339e+07;2.21584e+08;5.29083e+07;2.21778e+08;
0;;0;5.29083e+07;2.21778e+08;5.28334e+07;2.21959e+08;
0;;0;5.28334e+07;2.21959e+08;5.27142e+07;2.22115e+08;
0;;0;5.27142e+07;2.22115e+08;5.25589e+07;2.22234e+08;
0;;0;5.25589e+07;2.22234e+08;5.2378e+07;2.22309e+08;
0;;0;5.2378e+07;2.22309e+08;5.21839e+07;2.22334e+08;
0;;0;5.21839e+07;2.22334e+08;5.19898e+07;2.22309e+08;
0;;0;5.19898e+07;2.22309e+08;5.18089e+07;2.22234e+08;
0;;0;5.18089e+07;2.22234e+08;5.16536e+07;2.22115e+08;
0;;0;5.16536e+07;2.22115e+08;5.15344e+07;2.21959e+08;
0;;0;5.15344e+07;2.21959e+08;5.14594e+07;2.21778e+08;
0;;0;5.14594e+07;2.21778e+08;5.14339e+07;2.21584e+08;
0;;0;5.14339e+07;2.21584e+08;5.14594e+07;2.2139e+08;
0;;0;5.14594e+07;2.2139e+08;5.15344e+07;2.21209e+08;
0;;0;5.15344e+07;2.21209e+08;5.16536e+07;2.21054e+08;
0;;0;5.16536e+07;2.21054e+08;5.18089e+07;2.20935e+08;
0;;0;5.18089e+07;2.20935e+08;5.19898e+07;2.2086e+08;
0;;0;5.19898e+07;2.2086e+08;5.21839e+07;2.20834e+08;
0;;0;5.21839e+07;2.20834e+08;5.2378e+07;2.2086e+08;
0;;0;5.2378e+07;2.2086e+08;5.25589e+07;2.20935e+08;
0;;0;5.25589e+07;2.20935e+08;5.27142e+07;2.21054e+08;
0;;0;5.27142e+07;2.21054e+08;5.28334e+07;2.21209e+08;
0;;0;5.28334e+07;2.21209e+08;5.29083e+07;2.2139e+08;
0;;0;5.29083e+07;2.2139e+08;5.29339e+07;2.21584e+08;
0;;0;5.67339e+07;2.29484e+08;5.67083e+07;2.29678e+08;
0;;0;5.67083e+07;2.29678e+08;5.66334e+07;2.29859e+08;
0;;0;5.66334e+07;2.29859e+08;5.65142e+07;2.30015e+08;
0;;0;5.65142e+07;2.30015e+08;5.63589e+07;2.30134e+08;
0;;0;5.63589e+07;2.30134e+08;5.6178e+07;2.30209e+08;
0;;0;5.6178e+07;2.30209e+08;5.59839e+07;2.30234e+08;
0;;0;5.59839e+07;2.30234e+08;5.57898e+07;2.30209e+08;
0;;0;5.57898e+07;2.30209e+08;5.56089e+07;2.30134e+08;
0;;0;5.56089e+07;2.30134e+08;5.54536e+07;2.30015e+08;
0;;0;5.54536e+07;2.30015e+08;5.53344e+07;2.29859e+08;
0;;0;5.53344e+07;2.29859e+08;5.52594e+07;2.29678e+08;
0;;0;5.52594e+07;2.29678e+08;5.52339e+07;2.29484e+08;
0;;0;5.52339e+07;2.29484e+08;5.52594e+07;2.2929e+08;
0;;0;5.52594e+07;2.2929e+08;5.53344e+07;2.29109e+08;
0;;0;5.53344e+07;2.29109e+08;5.54536e+07;2.28954e+08;
0;;0;5.54536e+07;2.28954e+08;5.56089e+07;2.28835e+08;
0;;0;5.56089e+07;2.28835e+08;5.57898e+07;2.2876e+08;
0;;0;5.57898e+07;2.2876e+08;5.59839e+07;2.28734e+08;
0;;0;5.59839e+07;2.28734e+08;5.6178e+07;2.2876e+08;
0;;0;5.6178e+07;2.2876e+08;5.63589e+07;2.28835e+08;
0;;0;5.63589e+07;2.28835e+08;5.65142e+07;2.28954e+08;
0;;0;5.65142e+07;2.28954e+08;5.66334e+07;2.29109e+08;
0;;0;5.66334e+07;2.29109e+08;5.67083e+07;2.2929e+08;
0;;0;5.67083e+07;2.2929e+08;5.67339e+07;2.29484e+08;
0;;0;1.57184e+08;2.32034e+08;5.01839e+07;2.32034e+08;
0;;0;1.57184e+08;2.19034e+08;1.57184e+08;2.32034e+08;
0;;0;5.01839e+07;2.19034e+08;1.57184e+08;2.19034e+08;
0;;0;5.01839e+07;2.23634e+08;5.01839e+07;2.19034e+08;
0;;0;5.01839e+07;2.32034e+08;5.01839e+07;2.27434e+08;
THICK_LINE;;0;7.61839e+07;2.32034e+08;8.21839e+07;2.32034e+08;
THICK_LINE;;0;7.61839e+07;2.32034e+08;7.61839e+07;2.30534e+08;
THICK_LINE;;0;7.61839e+07;2.30534e+08;8.21839e+07;2.30534e+08;
THICK_LINE;;0;8.21839e+07;2.32034e+08;8.21839e+07;2.30534e+08;
THICK_LINE;;0;7.61839e+07;2.20534e+08;8.21839e+07;2.20534e+08;
THICK_LINE;;0;7.61839e+07;2.20534e+08;7.61839e+07;2.19034e+08;
THICK_LINE;;0;7.61839e+07;2.19034e+08;8.21839e+07;2.19034e+08;
THICK_LINE;;0;8.21839e+07;2.20534e+08;8.21839e+07;2.19034e+08;
0;;0;1.3039e+08;1.81136e+08;1.3039e+08;1.87136e+08;
0;;0;1.3039e+08;1.87136e+08;1.3489e+08;1.87136e+08;
0;;0;1.3489e+08;1.87136e+08;1.3489e+08;1.81136e+08;
0;;0;1.3489e+08;1.81136e+08;1.3039e+08;1.81136e+08;
0;;0;1.5869e+08;1.78736e+08;1.5869e+08;1.84536e+08;
0;;0;1.5239e+08;1.78736e+08;1.5869e+08;1.78736e+08;
0;;0;1.5239e+08;1.84536e+08;1.5239e+08;1.78736e+08;
0;;0;1.5869e+08;1.84536e+08;1.5239e+08;1.84536e+08;
0;;0;1.5154e+08;1.84236e+08;1.5166e+08;1.84236e+08;
0;;0;1.5179e+08;1.78906e+08;1.51773e+08;1.78971e+08;
0;;0;1.51773e+08;1.78971e+08;1.51725e+08;1.79019e+08;
0;;0;1.51725e+08;1.79019e+08;1.5166e+08;1.79036e+08;
0;;0;1.5166e+08;1.79036e+08;1.5154e+08;1.79036e+08;
0;;0;1.5154e+08;1.79036e+08;1.5154e+08;1.80236e+08;
0;;0;1.5154e+08;1.80236e+08;1.5166e+08;1.80236e+08;
0;;0;1.5166e+08;1.80236e+08;1.51725e+08;1.80254e+08;
0;;0;1.51725e+08;1.80254e+08;1.51773e+08;1.80301e+08;
0;;0;1.51773e+08;1.80301e+08;1.5179e+08;1.80366e+08;
0;;0;1.5179e+08;1.82906e+08;1.51773e+08;1.82971e+08;
0;;0;1.51773e+08;1.82971e+08;1.51725e+08;1.83019e+08;
0;;0;1.51725e+08;1.83019e+08;1.5166e+08;1.83036e+08;
0;;0;1.5166e+08;1.83036e+08;1.5154e+08;1.83036e+08;
0;;0;1.5154e+08;1.83036e+08;1.5154e+08;1.84236e+08;
0;;0;1.5939e+08;1.78486e+08;1.5939e+08;1.84786e+08;
0;;0;1.5166e+08;1.84236e+08;1.51725e+08;1.84254e+08;
0;;0;1.51725e+08;1.84254e+08;1.51773e+08;1.84301e+08;
0;;0;1.51773e+08;1.84301e+08;1.5179e+08;1.84366e+08;
0;;0;1.5179e+08;1.80366e+08;1.5179e+08;1.82906e+08;
0;;0;1.5179e+08;1.78486e+08;1.5179e+08;1.78906e+08;
0;;0;1.5179e+08;1.84366e+08;1.5179e+08;1.84786e+08;
0;;0;1.5179e+08;1.85486e+08;1.5939e+08;1.85486e+08;
0;;0;1.5939e+08;1.84786e+08;1.5939e+08;1.85486e+08;
0;;0;1.5179e+08;1.85486e+08;1.5179e+08;1.84786e+08;
0;;0;1.5939e+08;1.77786e+08;1.5179e+08;1.77786e+08;
0;;0;1.5939e+08;1.77786e+08;1.5939e+08;1.78486e+08;
0;;0;1.5179e+08;1.78486e+08;1.5179e+08;1.77786e+08;
0;;0;1.5179e+08;1.78186e+08;1.5163e+08;1.78186e+08;
0;;0;1.5163e+08;1.78736e+08;1.5163e+08;1.78186e+08;
0;;0;1.5163e+08;1.78736e+08;1.5164e+08;1.78736e+08;
0;;0;1.5164e+08;1.78736e+08;1.5164e+08;1.79036e+08;
0;;0;1.5164e+08;1.84236e+08;1.5164e+08;1.84536e+08;
0;;0;1.5163e+08;1.85086e+08;1.5163e+08;1.84536e+08;
0;;0;1.5179e+08;1.85086e+08;1.5163e+08;1.85086e+08;
0;;0;1.5163e+08;1.84536e+08;1.5164e+08;1.84536e+08;
0;;0;1.5163e+08;1.85086e+08;1.51367e+08;1.85086e+08;
0;;0;1.51119e+08;1.83711e+08;1.51019e+08;1.83716e+08;
0;;0;1.51019e+08;1.83716e+08;1.50925e+08;1.83822e+08;
0;;0;1.50925e+08;1.83822e+08;1.50993e+08;1.85126e+08;
0;;0;1.51224e+08;1.83806e+08;1.51119e+08;1.83711e+08;
0;;0;1.51367e+08;1.85086e+08;1.51287e+08;1.85011e+08;
0;;0;1.51372e+08;1.85486e+08;1.51182e+08;1.85436e+08;
0;;0;1.51182e+08;1.85436e+08;1.51043e+08;1.85296e+08;
0;;0;1.51043e+08;1.85296e+08;1.50993e+08;1.85126e+08;
0;;0;1.51287e+08;1.85011e+08;1.51224e+08;1.83806e+08;
0;;0;1.51372e+08;1.85486e+08;1.5179e+08;1.85486e+08;
0;;0;1.51119e+08;1.79562e+08;1.51224e+08;1.79467e+08;
0;;0;1.50925e+08;1.79451e+08;1.51019e+08;1.79556e+08;
